playlist_genre,playlist_subgenre,total_musicas
edm,progressive electro house,1809
edm,pop edm,1517
edm,electro house,1511
edm,big room,1206
latin,latin hip hop,1656
latin,tropical,1288
latin,latin pop,1262
latin,reggaeton,949
pop,indie poptimism,1672
pop,electropop,1408
pop,dance pop,1298
pop,post-teen pop,1129
r&b,neo soul,1637
r&b,urban contemporary,1405
r&b,hip pop,1256
r&b,new jack swing,1133
rap,southern hip hop,1675
rap,gangster rap,1458
rap,hip hop,1322
rap,trap,1291
rock,hard rock,1485
rock,classic rock,1296
rock,permanent wave,1105
rock,album rock,1065
